room_name,description,look_north,go_north,look_south,go_south,look_west,go_west,look_east,go_east
start,"You wake up in the middle of the woods, in front of you is a large mansion.",You can see steps leading up to a porch with a door. The door is slightly ajar.,entry_room,"The trail behind you is dark, but you can see a small light in the distance.",exit,You see dense unpassable woods.,None,You see dense unpassable woods.,None
entry_room,You walk into the entry room of the house. A thick layer of dust covers all the furniture.  An ominous grandfather clock towers over you from the corner of the room.,You see a doorway into a bathroom,bathroom_1,You see the entry door leading to a trail with a small light in the distance.,start,An opening to the west shows a living room,living_room,You see a hallway leading into what looks to be a kitchen,kitchen
bathroom_1,You walk into  a bathroom that has not been cleaned for years.  It's smelly you just want to get out of there.,You see mold growing on the walls,None,You see a doorway to the entry room,entry_room,You see a shower stall that is black covered in smelly mold,None,You see yourself in a broken mirror,None
kitchen,The kitchen is lined with torn apart cabinets and shattered glass.  The sink is spattered with blood. Various kitchen utensils are scattered on the ground.,"There is a refridgerator and cabinets and a small doorway, it is tiny but you can squeeze",serving_room,You see a door leading to the cellar,cellar,You see a hallway leading to the main foyer,entry_room,You see a kitchen sink and window,None
cellar,You open the door and walk down the steps.  It's very dark here and you reach the botom of the steps.  The door suddenly closes and you feel something hit you and you're dead,You see nothing,None,You see nothing,None,You see nothing,None,You see nothing,None
dining_room,"You push open the swinging doors and find a formal dining room, still set for an evening meal. Empty bottles of wine at the head of the table are the only distrubance of the seemingly timeless room.",A set of bay windows displays a sweeping backyard,None,You look back at the swinging door and can almost swear you saw the ghost of an old servant carrying a dinner platter still fulfilling it's duties. An cold uneasy feeling climbs through your spine.,serving_room,"You see a crease in the wallpaper on the western wall in the shape of a door. Could it be a secret door. Scrawled in the wallpaper on the doorway was the words ""Beware of Room 16"". Spooky!""",room_16,"A large portrait of a family adorns this wall, there is a man and a woman, a little boy and a little baby girl. The boy seems to be looking right at you, like he is staring into your soul, and his eyes follow you around the room.",None
serving_room,"You are able to fit yourself through this tiny entrance and find yourself in what seems like the serving room, where servants would prepare to bring dishes from the kitchen to the dining room.",Windows in a set of swinging doors allows you to glipse a formal dining room.,dining_room,You see the small crawlspace you enter through from the kitchen and an owerflowing laundry basket with dirty old rags.,kitchen,An old dumbwaiter sits in the wall. The pulley system still seems to be working if you want to explore the upstairs.,hallway,"You see peeling wallpaper and the floor is stained. Rats skitter in and out of the hole in the wall. There are words behind the wallpaper, when you pull away the piece you see scribbled on the wall ""red is bad, blue will make you mad, green isn't clean but only brown will gain you a crown""'",None
room_16,"A bright light peaks through the cracks of the door and it beckons you closer. The light engulfs you as you pull open the small secret door. The magic draws you in until you are surrounded by this bright light. There is no more door, no more walls, no more ceiling or floor. There is no more house. There is no more past,  there is no more future, there is only the present. There is no more life, there is no more death, only the now. A strange peace overcomes you and you just exist for the time being. This must be Room 16.",You hear people screaming in the distance. You try to call out to them but they cannot hear you. Eventually their screams turns to silence.,exit,There is nothing to see but the light that is all around you,exit,There is nothing to see but the light that is all around you,exit,There is nothing to see but the light that is all around you.,exit
living_room,"You wander into the living room, it's a large space with heavy curtains covering the windows to block out the sunlight. The room looks like a tornado tore through it. The couches are on their sides, one chair has the seat ripped out, pillow feathers and dust cover the singed flooring.",You face a pair of large oak doors.,west_wing,You see large rips and tears in the heavy curtains. The light shifting through creates patterns on the floorboards and lights up the dust particles floating in the air,None,"A huge, magestic fireplace sits on the western wall. It's opening is big enough to at least fit a person.",None,"You can see the entry room to the east. The grandfather clock looms in the corner, silently watching you.",entry_room
west_wing,"You find yourself in what used to be a beautiful ballroom. On the chandelier, where jewels used to gleam brightly, now only houses cobwebs and dust. ","Sets of glass doors open out to a patio that overlooks the backyard and the gardens on the western side of the mansion. Some of the doors have broken glass and some are even missing. A hole in the flooring blocks your way, you can see an easy way down the hole to the basement.",basement,"From the center of the ballroom looking south, you can see the big oak doors that lead to the living room.",living_room,Tall pillars stretch towards the high ceilings of the ballroom. You can see deep scratches on them like the ones in the curtains in the living room. Only some big creature would be able to make marks like those.,None,"You see yourself in the reflection of a wall of mirrors, some are broken and shattered.",None
